Sam;Dist_m;OTU_dist;Storage_type;
241;48,4651629;0,896336764;LB;0,48
242;35,87248264;0,91552577;LB;0,544
243;67,93486779;0,672874719;LB;0,009
244;127,0745401;1;LB;1
245;176,856629;1;LB;1
246;162,7887326;0,833242926;LB;0,438
247;173,5807966;0,881396881;LB;0,279
248;245,8300277;0,895342119;LB;0,372
249;200,1535614;1;LB;1
250;227,5854186;0,966850327;LB;0,517
251;204,1822833;0,929906077;LB;0,449
252;182,0028539;0,959515948;LB;0,723
253;180,6215422;1;LB;1
254;155,5091193;0,821552237;LB;0,113
255;340,2622278;1;LB;1
256;85,80976722;1;LB;1
257;37,39548459;0,748420811;LB;0,037
258;95,44293006;0,879350265;LB;0,661
259;147,9863754;0,907732937;LB;0,411
260;136,7845159;1;LB;1
261;152,155966;1;LB;1
262;267,901343;0,91982739;LB;0,545
263;183,0600503;1;LB;1
264;249,5048692;0,982803954;LB;0,699
265;226,302921;0,95061983;LB;0,23
266;204,1749137;1;LB;1
267;206,579014;1;LB;1
268;182,622734;1;LB;1
269;345,7468337;0,917174606;LB;0,559
270;109,2153494;0,898975896;LB;0,415
271;59,19440608;0,926874487;LB;0,757
272;110,6924423;0,885569979;LB;0,492
273;99,54708455;0,883737788;LB;0,676
274;116,3442248;0,71212625;LB;0,485
275;305,1750997;0,735869749;LB;0,343
276;149,1598044;1;LB;1
277;286,7767549;0,96519276;LB;0,51
278;263,6098442;0,94476891;LB;0,424
279;241,5027798;0,967920371;LB;0,878
280;243,9009465;1;LB;1
281;219,7909778;0,730184309;LB;0,3
282;377,2439761;1;LB;1
283;146,5881175;0,928100831;LB;0,478
284;54,78740029;1;LB;1
285;51,71948217;0,890048613;LB;0,542
286;78,04918581;1;LB;1
287;360,5822286;0,838636465;LB;0,196
288;116,1246518;1;LB;1
289;342,2176069;0,975621057;LB;0,294
290;319,3276939;0,960674449;LB;0,625
291;297,4267018;0,935673941;LB;0,813
292;301,5019934;0,945599391;LB;0,649
293;277,8970039;0,927804221;LB;0,671
294;418,326961;0,90843038;LB;0,544
295;204,0544326;1;LB;1
296;23,10537991;1;LB;1
297;47,70630928;1;LB;1
298;414,8175358;0,857827582;LB;0,686
299;81,99556469;1;LB;1
300;396,4337323;0,978525574;LB;0,798
301;373,4372509;1;LB;1
302;351,4459689;1;LB;1
303;354,5645417;1;LB;1
304;330,4748619;1;LB;1
305;471,3635542;1;LB;1
306;257,1845973;0,917955982;LB;0,223
307;29,63932278;0,87466875;LB;0,314
308;404,6831541;0,910084727;LB;0,373
309;67,52596478;1;LB;1
310;386,2859798;0,990395984;LB;0,904
311;363,0867131;0,968126316;LB;0,466
312;340,9525047;0,883022461;LB;0,235
313;342,4797668;0,903355561;LB;0,108
314;317,8527606;0,849403491;LB;0,107
315;469,4270685;1;LB;1
316;245,5713966;1;LB;1
317;418,6862791;0,863970541;LB;0,705
318;38,34814033;1;LB;1
319;400,342053;1;LB;1
320;376,9859364;0,98395802;LB;0,706
321;354,7767545;0,952811782;LB;0,544
322;354,189639;1;LB;1
323;328,9491144;0,60275107;LB;0,38
324;491,6908511;1;LB;1
325;258,6159237;0,89433816;LB;0,224
326;445,9368464;1;LB;1
327;18,39847919;0,958553946;LB;0,886
328;41,7006249;0,936403112;LB;0,963
329;63,91063147;0,830230071;LB;0,481
330;71,24459166;0,961530531;LB;0,911
331;96,77472917;0,807787855;LB;0,552
332;172,5878515;0,938167168;LB;0,818
333;160,1533932;0,967108807;LB;0,683
334;427,7196144;1;LB;1
335;404,3161544;1;LB;1
336;382,1475044;1;LB;1
337;379,4769685;1;LB;1
338;353,7882479;1;LB;1
339;526,2362929;0,872114286;LB;0,479
340;285,955788;1;LB;1
341;23,40357853;0,952435665;LB;0,765
342;45,59579859;0,962543141;LB;0,924
343;55,53712619;0,984750214;LB;0,964
344;80,26304205;0,963746073;LB;0,729
345;176,8366613;0,996657399;LB;0,907
346;141,8595875;1;LB;1
347;22,2102293;0,904839464;LB;0,198
348;36,55597234;0,934153443;LB;0,237
349;58,99215855;0,951077476;LB;0,635
350;187,6882611;0,992080079;LB;0,855
351;118,4661846;0,979522365;LB;0,729
352;27,52019571;0,878319841;LB;0,41
353;41,91895459;0,887939261;LB;0,384
354;198,9596678;1;LB;1
355;96,26379509;0,88623169;LB;0,558
356;26,06463827;0,949322688;LB;0,667
357;223,370963;1;LB;1
358;97,4530484;1;LB;1
359;240,5387382;1;LB;1
360;74,28553603;1;LB;1
361;266,1071291;1;LB;1
