OTU;SampleID;SampleSite;SampleType;Date;Taxa2;Taxa3;Taxa5;Taxa6;Taxa7;Taxa8;Taxa9;Taxa10;Taxa11;Taxa12;Taxa14;Taxa15;Taxa16;Taxa17;Taxa18;Taxa19;Taxa20;Taxa21;Taxa22;Taxa23;Taxa24;Taxa25;Taxa26;Taxa27;Taxa28;Taxa29;Taxa30;Taxa31;Taxa32;Taxa33;Taxa34;Taxa35;Taxa36;Taxa37;Taxa38;Taxa39;Taxa40;Taxa41;Taxa43;Taxa44;Taxa45
AF58;I1_5V;I;5v;Day1;11262;9382;0;0;5779;0;0;0;0;0;0;0;0;3316;0;0;0;3270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF61;J1_5V;J;5v;Day1;14400;9926;0;0;0;0;0;0;0;0;0;0;0;0;5924;0;0;0;0;0;0;0;0;0;0;2063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF62;B2_12VX5;B;12v_5;Day2;7788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF66;I2_12VX5;I;12v_5;Day2;8997;0;0;0;0;0;0;0;0;0;3288;0;0;0;1980;0;0;1874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF67;F3_12V;F;12v;Day3;22303;10602;0;4368;0;0;5334;0;0;5288;0;2821;8073;14564;0;0;0;0;0;0;5670;0;0;0;0;0;9051;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF69;E1_5VX12;E;5v_12;Day1;11489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF7;D3_5V;D;5v;Day3;0;10104;0;0;0;0;0;0;0;0;0;0;0;0;0;3743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF70;J1_12VX5;J;12v_5;Day1;6521;0;0;0;0;11430;0;0;0;0;0;0;0;0;0;0;8629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF72;J2_12V;J;12v;Day2;8627;5286;0;0;17124;0;0;0;0;0;0;0;13544;0;0;0;0;0;0;0;0;0;5205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF73;C3_5VX12;C;5v_12;Day3;6970;8079;0;0;0;0;4807;2342;0;8162;0;0;0;0;0;845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
