OTU;SampleID;SampleSite;SampleType;Date;Taxa2;Taxa3;Taxa5;Taxa6;Taxa7;Taxa8;Taxa9;Taxa10;Taxa11;Taxa12;Taxa14;Taxa15;Taxa16;Taxa17;Taxa18;Taxa19;Taxa20;Taxa21;Taxa22;Taxa23;Taxa24;Taxa25;Taxa26;Taxa27;Taxa28;Taxa29;Taxa30;Taxa31;Taxa33;Taxa37;Taxa39;Taxa40;Taxa41;Taxa43;Taxa44;Taxa45
AF34;C2_5VX12;C;5v_12;Day2;15172;0;0;0;13196;3769;0;2664;0;0;0;3080;0;0;0;0;0;4245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF35;G2_5VX12;G;5v_12;Day2;10955;0;0;0;0;1432;0;0;0;2539;0;0;0;0;0;0;1599;0;0;0;0;2114;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF40;F3_5VX12;F;5v_12;Day3;7840;15770;0;0;2802;0;0;7451;0;0;0;4082;0;0;0;0;0;0;0;0;0;0;1123;0;0;0;0;0;0;0;0;0;0;0;0;0
AF44;J2_5VX12;J;5v_12;Day2;6968;0;0;4128;0;0;4886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF47;G1_5VX12;G;5v_12;Day1;0;0;0;0;0;0;0;0;0;0;4281;0;0;0;0;0;0;0;4029;0;0;0;0;2545;0;0;0;0;0;0;0;0;0;0;0;0
AF50;I3_5VX12;I;5v_12;Day3;10226;0;0;0;0;8526;5568;0;0;0;0;5302;0;4920;0;544;645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF53;I2_5VX12;I;5v_12;Day2;10545;0;0;0;0;0;0;3585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF56;H1_5VX12;H;5v_12;Day1;8058;0;0;0;0;0;0;0;3903;0;0;0;0;0;0;0;0;4017;0;0;0;0;0;0;5777;0;0;0;0;0;0;0;0;0;0;0
AF69;E1_5VX12;E;5v_12;Day1;11489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF73;C3_5VX12;C;5v_12;Day3;6970;8079;0;0;0;0;4807;2342;0;8162;0;0;0;0;0;845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF76;B2_5VX12;B;5v_12;Day2;19910;0;0;0;0;0;0;0;0;0;0;0;11460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF87;A2_5VX12;A;5v_12;Day2;21242;0;0;0;0;0;0;0;0;0;0;0;1816;0;0;0;0;0;0;2669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF92;B3_5VX12;B;5v_12;Day3;18487;10839;0;3542;0;6836;10500;5779;0;1580;0;0;0;0;0;0;2354;4439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF96;G3_5VX12;G;5v_12;Day3;9457;11051;0;0;0;2159;0;0;0;0;0;0;0;0;0;0;1677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
